,Carname,Carmodel,Price,Emifacility,Kmsdriven
182,2019 Tata Harrier,XZ 2.0L Kryotec Manual,"₹1,489,899","₹33,142/month","81,479 km1st OwnerDiesel"
183,2017 Maruti Ertiga,ZDI PLUS SHVS Manual,"₹848,099","₹18,865/month","83,971 km1st OwnerDiesel"
184,2016 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹599,199","₹13,329/month","55,740 km1st OwnerPetrol"
185,2017 Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹991,499","₹22,055/month","51,628 km1st OwnerPetrol"
186,2015 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,"₹587,299","₹13,064/month","183,608 km1st OwnerDiesel"
187,2019 Maruti New  Wagon-R,VXI 1.2L Manual,"₹547,299","₹12,174/month","48,692 km2nd OwnerPetrol"
188,2016 Hyundai Elite i20,ASTA 1.4 CRDI Manual,"₹658,699","₹14,652/month","118,824 km1st OwnerDiesel"
189,2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹1,169,099","₹26,006/month","79,936 km1st OwnerDiesel"
190,2017 Maruti IGNIS,ALPHA 1.2 K12 DUAL TONE Manual,"₹570,599","₹12,693/month","79,312 km1st OwnerPetrol"
191,2015 Hyundai Eon,MAGNA PLUS Manual,"₹314,399","₹6,994/month","68,345 km2nd OwnerPetrol"
192,2012 Toyota Fortuner,3.0 AT 4X2 Automatic,"₹1,508,199","₹33,549/month","158,977 km2nd OwnerDiesel"
193,2017 Maruti Swift,VDI OPT Manual,"₹623,099","₹13,860/month","68,276 km1st OwnerDiesel"
194,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,030,299","₹22,918/month","83,119 km1st OwnerDiesel"
195,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹526,299","₹11,707/month","61,290 km2nd OwnerPetrol"
196,2018 Maruti Baleno,ZETA 1.2 K12 Manual,"₹637,699","₹14,185/month","69,895 km1st OwnerPetrol"
197,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹511,699","₹11,382/month","56,530 km1st OwnerPetrol"
198,2015 Hyundai Eon,MAGNA PLUS Manual,"₹328,799","₹7,314/month","38,789 km1st OwnerPetrol"
199,2015 Maruti Swift Dzire,VDI BS IV Manual,"₹538,799","₹11,985/month","97,519 km1st OwnerDiesel"
200,2014 Maruti Wagon R 1.0,VXI Manual,"₹368,799","₹8,204/month","92,708 km1st OwnerPetrol"
201,2017 Renault Captur,PLATINE DUAL TONE Manual,"₹821,799","₹18,280/month","26,909 km1st OwnerDiesel"
202,2019 Tata Harrier,XZ 2.0L Kryotec Manual,"₹1,489,899","₹33,142/month","81,479 km1st OwnerDiesel"
203,2017 Maruti Ertiga,ZDI PLUS SHVS Manual,"₹848,099","₹18,865/month","83,971 km1st OwnerDiesel"
204,2016 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹599,199","₹13,329/month","55,740 km1st OwnerPetrol"
205,2017 Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹991,499","₹22,055/month","51,628 km1st OwnerPetrol"
206,2015 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,"₹587,299","₹13,064/month","183,608 km1st OwnerDiesel"
207,2019 Maruti New  Wagon-R,VXI 1.2L Manual,"₹547,299","₹12,174/month","48,692 km2nd OwnerPetrol"
208,2016 Hyundai Elite i20,ASTA 1.4 CRDI Manual,"₹658,699","₹14,652/month","118,824 km1st OwnerDiesel"
209,2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹1,169,099","₹26,006/month","79,936 km1st OwnerDiesel"
210,2017 Maruti IGNIS,ALPHA 1.2 K12 DUAL TONE Manual,"₹570,599","₹12,693/month","79,312 km1st OwnerPetrol"
211,2015 Hyundai Eon,MAGNA PLUS Manual,"₹314,399","₹6,994/month","68,345 km2nd OwnerPetrol"
212,2012 Toyota Fortuner,3.0 AT 4X2 Automatic,"₹1,508,199","₹33,549/month","158,977 km2nd OwnerDiesel"
213,2017 Maruti Swift,VDI OPT Manual,"₹623,099","₹13,860/month","68,276 km1st OwnerDiesel"
214,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,030,299","₹22,918/month","83,119 km1st OwnerDiesel"
215,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹526,299","₹11,707/month","61,290 km2nd OwnerPetrol"
216,2018 Maruti Baleno,ZETA 1.2 K12 Manual,"₹637,699","₹14,185/month","69,895 km1st OwnerPetrol"
217,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹511,699","₹11,382/month","56,530 km1st OwnerPetrol"
218,2015 Hyundai Eon,MAGNA PLUS Manual,"₹328,799","₹7,314/month","38,789 km1st OwnerPetrol"
219,2015 Maruti Swift Dzire,VDI BS IV Manual,"₹538,799","₹11,985/month","97,519 km1st OwnerDiesel"
220,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
221,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
222,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
223,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
224,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
225,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
226,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
227,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
228,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
229,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
230,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
231,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
232,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
233,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
234,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
235,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
236,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
237,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
238,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
239,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
240,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
241,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
242,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
243,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
244,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
245,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
246,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
247,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
248,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
249,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
250,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
251,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
252,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
253,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
254,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
255,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
256,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
257,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
258,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
259,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
260,2014 Maruti Wagon R 1.0,VXI Manual,"₹368,799","₹8,204/month","92,708 km1st OwnerPetrol"
261,2017 Renault Captur,PLATINE DUAL TONE Manual,"₹821,799","₹18,280/month","26,909 km1st OwnerDiesel"
262,2019 Tata Harrier,XZ 2.0L Kryotec Manual,"₹1,489,899","₹33,142/month","81,479 km1st OwnerDiesel"
263,2017 Maruti Ertiga,ZDI PLUS SHVS Manual,"₹848,099","₹18,865/month","83,971 km1st OwnerDiesel"
264,2016 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹599,199","₹13,329/month","55,740 km1st OwnerPetrol"
265,2017 Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹991,499","₹22,055/month","51,628 km1st OwnerPetrol"
266,2015 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,"₹587,299","₹13,064/month","183,608 km1st OwnerDiesel"
267,2019 Maruti New  Wagon-R,VXI 1.2L Manual,"₹547,299","₹12,174/month","48,692 km2nd OwnerPetrol"
268,2016 Hyundai Elite i20,ASTA 1.4 CRDI Manual,"₹658,699","₹14,652/month","118,824 km1st OwnerDiesel"
269,2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹1,169,099","₹26,006/month","79,936 km1st OwnerDiesel"
270,2017 Maruti IGNIS,ALPHA 1.2 K12 DUAL TONE Manual,"₹570,599","₹12,693/month","79,312 km1st OwnerPetrol"
271,2015 Hyundai Eon,MAGNA PLUS Manual,"₹314,399","₹6,994/month","68,345 km2nd OwnerPetrol"
272,2012 Toyota Fortuner,3.0 AT 4X2 Automatic,"₹1,508,199","₹33,549/month","158,977 km2nd OwnerDiesel"
273,2017 Maruti Swift,VDI OPT Manual,"₹623,099","₹13,860/month","68,276 km1st OwnerDiesel"
274,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,030,299","₹22,918/month","83,119 km1st OwnerDiesel"
275,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹526,299","₹11,707/month","61,290 km2nd OwnerPetrol"
276,2018 Maruti Baleno,ZETA 1.2 K12 Manual,"₹637,699","₹14,185/month","69,895 km1st OwnerPetrol"
277,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹511,699","₹11,382/month","56,530 km1st OwnerPetrol"
278,2015 Hyundai Eon,MAGNA PLUS Manual,"₹328,799","₹7,314/month","38,789 km1st OwnerPetrol"
279,2015 Maruti Swift Dzire,VDI BS IV Manual,"₹538,799","₹11,985/month","97,519 km1st OwnerDiesel"
280,2014 Maruti Wagon R 1.0,VXI Manual,"₹368,799","₹8,204/month","92,708 km1st OwnerPetrol"
281,2017 Renault Captur,PLATINE DUAL TONE Manual,"₹821,799","₹18,280/month","26,909 km1st OwnerDiesel"
282,2019 Tata Harrier,XZ 2.0L Kryotec Manual,"₹1,489,899","₹33,142/month","81,479 km1st OwnerDiesel"
283,2017 Maruti Ertiga,ZDI PLUS SHVS Manual,"₹848,099","₹18,865/month","83,971 km1st OwnerDiesel"
284,2016 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹599,199","₹13,329/month","55,740 km1st OwnerPetrol"
285,2017 Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹991,499","₹22,055/month","51,628 km1st OwnerPetrol"
286,2015 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,"₹587,299","₹13,064/month","183,608 km1st OwnerDiesel"
287,2019 Maruti New  Wagon-R,VXI 1.2L Manual,"₹547,299","₹12,174/month","48,692 km2nd OwnerPetrol"
288,2016 Hyundai Elite i20,ASTA 1.4 CRDI Manual,"₹658,699","₹14,652/month","118,824 km1st OwnerDiesel"
289,2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹1,169,099","₹26,006/month","79,936 km1st OwnerDiesel"
290,2017 Maruti IGNIS,ALPHA 1.2 K12 DUAL TONE Manual,"₹570,599","₹12,693/month","79,312 km1st OwnerPetrol"
291,2015 Hyundai Eon,MAGNA PLUS Manual,"₹314,399","₹6,994/month","68,345 km2nd OwnerPetrol"
292,2012 Toyota Fortuner,3.0 AT 4X2 Automatic,"₹1,508,199","₹33,549/month","158,977 km2nd OwnerDiesel"
293,2017 Maruti Swift,VDI OPT Manual,"₹623,099","₹13,860/month","68,276 km1st OwnerDiesel"
294,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,030,299","₹22,918/month","83,119 km1st OwnerDiesel"
295,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹526,299","₹11,707/month","61,290 km2nd OwnerPetrol"
296,2018 Maruti Baleno,ZETA 1.2 K12 Manual,"₹637,699","₹14,185/month","69,895 km1st OwnerPetrol"
297,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹511,699","₹11,382/month","56,530 km1st OwnerPetrol"
298,2015 Hyundai Eon,MAGNA PLUS Manual,"₹328,799","₹7,314/month","38,789 km1st OwnerPetrol"
299,2015 Maruti Swift Dzire,VDI BS IV Manual,"₹538,799","₹11,985/month","97,519 km1st OwnerDiesel"
300,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
301,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
302,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
303,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
304,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
305,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
306,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
307,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
308,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
309,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
310,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
311,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
312,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
313,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
314,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
315,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
316,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
317,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
318,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
319,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
320,2014 Maruti Wagon R 1.0,VXI Manual,"₹368,799","₹8,204/month","92,708 km1st OwnerPetrol"
321,2017 Renault Captur,PLATINE DUAL TONE Manual,"₹821,799","₹18,280/month","26,909 km1st OwnerDiesel"
322,2019 Tata Harrier,XZ 2.0L Kryotec Manual,"₹1,489,899","₹33,142/month","81,479 km1st OwnerDiesel"
323,2017 Maruti Ertiga,ZDI PLUS SHVS Manual,"₹848,099","₹18,865/month","83,971 km1st OwnerDiesel"
324,2016 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹599,199","₹13,329/month","55,740 km1st OwnerPetrol"
325,2017 Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹991,499","₹22,055/month","51,628 km1st OwnerPetrol"
326,2015 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,"₹587,299","₹13,064/month","183,608 km1st OwnerDiesel"
327,2019 Maruti New  Wagon-R,VXI 1.2L Manual,"₹547,299","₹12,174/month","48,692 km2nd OwnerPetrol"
328,2016 Hyundai Elite i20,ASTA 1.4 CRDI Manual,"₹658,699","₹14,652/month","118,824 km1st OwnerDiesel"
329,2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,"₹1,169,099","₹26,006/month","79,936 km1st OwnerDiesel"
330,2017 Maruti IGNIS,ALPHA 1.2 K12 DUAL TONE Manual,"₹570,599","₹12,693/month","79,312 km1st OwnerPetrol"
331,2015 Hyundai Eon,MAGNA PLUS Manual,"₹314,399","₹6,994/month","68,345 km2nd OwnerPetrol"
332,2012 Toyota Fortuner,3.0 AT 4X2 Automatic,"₹1,508,199","₹33,549/month","158,977 km2nd OwnerDiesel"
333,2017 Maruti Swift,VDI OPT Manual,"₹623,099","₹13,860/month","68,276 km1st OwnerDiesel"
334,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,030,299","₹22,918/month","83,119 km1st OwnerDiesel"
335,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹526,299","₹11,707/month","61,290 km2nd OwnerPetrol"
336,2018 Maruti Baleno,ZETA 1.2 K12 Manual,"₹637,699","₹14,185/month","69,895 km1st OwnerPetrol"
337,2015 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹511,699","₹11,382/month","56,530 km1st OwnerPetrol"
338,2015 Hyundai Eon,MAGNA PLUS Manual,"₹328,799","₹7,314/month","38,789 km1st OwnerPetrol"
339,2015 Maruti Swift Dzire,VDI BS IV Manual,"₹538,799","₹11,985/month","97,519 km1st OwnerDiesel"
340,2019 Hyundai NEW SANTRO,ASTA 1.1 MT Manual,"₹533,199","₹11,861/month","29,693 km1st OwnerPetrol"
341,2017 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹625,799","₹13,921/month","13,505 km2nd OwnerPetrol"
342,2014 Maruti Ciaz,ZXI Manual,"₹601,199","₹13,373/month","120,506 km1st OwnerPetrol"
343,2017 Toyota Innova Crysta,2.8 ZX AT 7 STR Automatic,"₹1,926,499","₹42,854/month","72,222 km2nd OwnerDiesel"
344,2018 Volkswagen Ameo,Trendline 1.0 Manual,"₹560,499","₹12,468/month","21,548 km1st OwnerPetrol"
345,2018 Honda WR-V,1.2 i-VTEC VX MT Manual,"₹832,499","₹18,518/month","13,989 km1st OwnerPetrol"
346,2016 Maruti Vitara Brezza,VDI Manual,"₹678,999","₹15,104/month","153,631 km1st OwnerDiesel"
347,2018 Hyundai Elite i20,SPORTZ 1.2 Manual,"₹594,499","₹13,224/month","67,591 km1st OwnerPetrol"
348,2017 Maruti Dzire,VDI Manual,"₹633,399","₹14,090/month","175,702 km2nd OwnerDiesel"
349,2015 Maruti Baleno,SIGMA 1.2 K12 Manual,"₹525,799","₹11,696/month","106,746 km2nd OwnerPetrol"
350,2017 Hyundai i20 Active,1.2 S Manual,"₹633,799","₹14,099/month","109,519 km1st OwnerPetrol"
351,2018 Maruti S Cross,ZETA 1.3 SHVS Manual,"₹888,999","₹19,775/month","68,278 km2nd OwnerDiesel"
352,2017 Maruti Baleno,ZETA 1.2 K12 Manual,"₹639,999","₹14,236/month","64,311 km1st OwnerPetrol"
353,2018 Hyundai Verna,1.6 CRDI SX + AT Automatic,"₹1,114,199","₹24,785/month","32,419 km1st OwnerDiesel"
354,2016 Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹530,999","₹11,812/month","70,033 km1st OwnerPetrol"
355,2017 Maruti Swift Dzire,VDI OPT Manual,"₹663,299","₹14,755/month","58,134 km1st OwnerDiesel"
356,2012 Maruti Swift Dzire,VDI BS IV Manual,"₹475,299","₹10,573/month","129,986 km2nd OwnerDiesel"
357,2018 Maruti Baleno,ALPHA 1.2 K12 Manual,"₹740,799","₹16,479/month","16,676 km1st OwnerPetrol"
358,2019 Maruti Baleno,ZETA 1.2 K12 Manual,"₹707,599","₹15,740/month","49,355 km1st OwnerPetrol"
359,2014 Hyundai Grand i10,MAGNA 1.1 CRDI Manual,"₹429,099","₹9,545/month","11,795 km2nd OwnerDiesel"
